微信支付账单明细,,,,,,,,
微信昵称：[测试蔡坨坨],,,,,,,,
起始时间：[2024-12-02 00:00:00] 终止时间：[2024-12-27 23:59:59],,,,,,,,
导出类型：[全部],,,,,,,,
导出时间：[2024-12-28 01:27:20],,,,,,,,
,,,,,,,,
共XX笔记录,,,,,,,,
收入：X笔 XX元,,,,,,,,
支出：X笔 XX元,,,,,,,,
中性交易：X笔 XX元,,,,,,,,
注：,,,,,,,,
1. 充值/提现/理财通购买/零钱通存取/信用卡还款等交易，将计入中性交易,,,,,,,,
2. 本明细仅展示当前账单中的交易，不包括已删除的记录,,,,,,,,
3. 本明细仅供个人对账使用,,,,,,,,
,,,,,,,,
----------------------微信支付账单明细列表--------------------,,,,,,,,
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2024-12-27 23:55:35,商户消费,美团,"XXX-美团App-241227111003000066666666",支出,¥55.50,招商银行储蓄卡(1234),支付成功,4200002454202412277140378624	,20241227235528U26427425014982113	,"/"
2024-12-26 23:21:59,转入零钱通-来自零钱,/,"/",/,¥0.02,零钱,支付成功,4200002540202412260975146333	,18000097182412260142220547075953	,"/"
2024-12-26 19:31:47,微信红包,张三,"/",收入,¥0.02,/,已存入零钱,1800008896008412267013840203003	,1800008896202412267013840203003	,"/"
2024-12-26 19:32:47,测试未匹配,王五,"/",收入,¥0.03,/,已存入零钱,180000889600841226701384012345	,180000889600841226701384012345	,"/"
